feature,mean_abs_shap
mfp_1193,0.0
mfp_1192,0.0
mfp_1191,0.0
mfp_1190,0.0
mfp_1189,0.0
mfp_1188,0.0
mfp_1187,0.0
mfp_1186,0.0
mfp_1185,0.0
mfp_1184,0.0
mfp_1183,0.0
mfp_1210,0.0
mfp_1212,0.0
mfp_1241,0.0
mfp_1213,0.0
mfp_1240,0.0
mfp_1239,0.0
mfp_1238,0.0
mfp_1237,0.0
mfp_1236,0.0
mfp_1235,0.0
mfp_1234,0.0
mfp_1233,0.0
mfp_1232,0.0
mfp_1231,0.0
mfp_1230,0.0
mfp_1229,0.0
mfp_1228,0.0
mfp_1227,0.0
mfp_1226,0.0
mfp_1225,0.0
mfp_1224,0.0
mfp_1223,0.0
mfp_1222,0.0
mfp_1221,0.0
mfp_1220,0.0
mfp_1219,0.0
mfp_1218,0.0
mfp_1217,0.0
mfp_1216,0.0
mfp_1215,0.0
mfp_1214,0.0
mfp_1548,0.0
mfp_1554,0.0
mfp_1550,0.0
mfp_1881,0.0
mfp_1894,0.0
mfp_1893,0.0
mfp_1892,0.0
mfp_1891,0.0
mfp_1890,0.0
mfp_1889,0.0
mfp_1888,0.0
mfp_1887,0.0
mfp_1886,0.0
mfp_1885,0.0
mfp_1884,0.0
mfp_1883,0.0
mfp_1882,0.0
mfp_1880,0.0
mfp_1865,0.0
mfp_1879,0.0
mfp_1878,0.0
mfp_1877,0.0
mfp_1876,0.0
mfp_1875,0.0
mfp_1874,0.0
mfp_1873,0.0
mfp_1872,0.0
mfp_1871,0.0
mfp_1870,0.0
mfp_1869,0.0
mfp_1868,0.0
mfp_1867,0.0
mfp_1895,0.0
mfp_1896,0.0
mfp_1897,0.0
mfp_1898,0.0
mfp_1927,0.0
mfp_1926,0.0
mfp_1925,0.0
mfp_1924,0.0
mfp_1923,0.0
mfp_1922,0.0
mfp_1921,0.0
mfp_1920,0.0
mfp_1919,0.0
mfp_1918,0.0
mfp_1916,0.0
mfp_1915,0.0
mfp_1914,0.0
mfp_1913,0.0
mfp_1912,0.0
mfp_1910,0.0
mfp_1909,0.0
mfp_1908,0.0
mfp_1907,0.0
mfp_1906,0.0
mfp_1905,0.0
mfp_1904,0.0
mfp_1903,0.0
mfp_1902,0.0
mfp_1901,0.0
mfp_1900,0.0
mfp_1899,0.0
mfp_1866,0.0
mfp_1864,0.0
mfp_1803,0.0
mfp_1818,0.0
mfp_1831,0.0
mfp_1830,0.0
mfp_1829,0.0
mfp_1828,0.0
mfp_1827,0.0
mfp_1826,0.0
mfp_1825,0.0
mfp_1824,0.0
mfp_1823,0.0
mfp_1822,0.0
mfp_1821,0.0
mfp_1820,0.0
mfp_1819,0.0
mfp_1817,0.0
mfp_1863,0.0
mfp_1816,0.0
mfp_1815,0.0
mfp_1814,0.0
mfp_1813,0.0
mfp_1812,0.0
mfp_1811,0.0
mfp_1810,0.0
mfp_1809,0.0
NumAromaticHeterocycles,0.0
mfp_1808,0.0
mfp_1807,0.0
mfp_1806,0.0
mfp_1805,0.0
mfp_1832,0.0
mfp_1833,0.0
mfp_1834,0.0
mfp_1835,0.0
mfp_1862,0.0
mfp_1861,0.0
mfp_1860,0.0
mfp_1859,0.0
mfp_1858,0.0
mfp_1857,0.0
mfp_1856,0.0
mfp_1855,0.0
mfp_1854,0.0
mfp_1853,0.0
mfp_1852,0.0
mfp_1851,0.0
mfp_1850,0.0
mfp_1849,0.0
mfp_1848,0.0
mfp_1847,0.0
mfp_1846,0.0
mfp_1845,0.0
mfp_1844,0.0
mfp_1843,0.0
mfp_1842,0.0
mfp_1841,0.0
mfp_1840,0.0
mfp_1839,0.0
mfp_1838,0.0
mfp_1837,0.0
mfp_1836,0.0
mfp_1928,0.0
mfp_1929,0.0
mfp_1930,0.0
mfp_2008,0.0
mfp_2021,0.0
mfp_2020,0.0
mfp_2019,0.0
mfp_2018,0.0
mfp_2017,0.0
mfp_2016,0.0
mfp_2015,0.0
mfp_2014,0.0
mfp_2013,0.0
mfp_2012,0.0
mfp_2011,0.0
mfp_2010,0.0
mfp_2009,0.0
mfp_2007,0.0
mfp_1931,0.0
mfp_2006,0.0
mfp_2005,0.0
mfp_2004,0.0
mfp_2003,0.0
mfp_2002,0.0
mfp_2001,0.0
mfp_2000,0.0
mfp_1999,0.0
mfp_1998,0.0
mfp_1997,0.0
mfp_1996,0.0
mfp_1995,0.0
mfp_1994,0.0
mfp_2022,0.0
mfp_2023,0.0
mfp_2024,0.0
mfp_2025,0.0
RingCount,0.0
NumAliphaticRings,0.0
NumAromaticRings,0.0
NumHAcceptors,0.0
NumSaturatedRings,0.0
mfp_2047,0.0
mfp_2046,0.0
mfp_2045,0.0
mfp_2044,0.0
mfp_2043,0.0
mfp_2042,0.0
mfp_2041,0.0
mfp_2040,0.0
mfp_2039,0.0
mfp_2038,0.0
mfp_2037,0.0
mfp_2036,0.0
mfp_2035,0.0
mfp_2034,0.0
mfp_2033,0.0
mfp_2032,0.0
mfp_2031,0.0
mfp_2030,0.0
mfp_2029,0.0
mfp_2028,0.0
mfp_2027,0.0
mfp_2026,0.0
mfp_1993,0.0
mfp_1992,0.0
mfp_1991,0.0
mfp_1960,0.0
mfp_1958,0.0
mfp_1957,0.0
mfp_1956,0.0
mfp_1955,0.0
mfp_1954,0.0
mfp_1953,0.0
mfp_1952,0.0
mfp_1951,0.0
mfp_1950,0.0
mfp_1949,0.0
mfp_1948,0.0
mfp_1947,0.0
mfp_1946,0.0
mfp_1945,0.0
mfp_1944,0.0
mfp_1943,0.0
mfp_1942,0.0
mfp_1941,0.0
mfp_1940,0.0
mfp_1939,0.0
mfp_1938,0.0
mfp_1937,0.0
mfp_1936,0.0
mfp_1935,0.0
mfp_1934,0.0
mfp_1933,0.0
mfp_1932,0.0
mfp_1959,0.0
mfp_1961,0.0
mfp_1990,0.0
mfp_1962,0.0
mfp_1989,0.0
mfp_1988,0.0
mfp_1987,0.0
mfp_1986,0.0
mfp_1985,0.0
mfp_1984,0.0
mfp_1983,0.0
mfp_1982,0.0
mfp_1981,0.0
mfp_1980,0.0
mfp_1979,0.0
mfp_1978,0.0
mfp_1977,0.0
mfp_1976,0.0
mfp_1975,0.0
mfp_1974,0.0
mfp_1973,0.0
mfp_1972,0.0
mfp_1971,0.0
mfp_1970,0.0
mfp_1969,0.0
mfp_1968,0.0
mfp_1967,0.0
mfp_1966,0.0
mfp_1965,0.0
mfp_1964,0.0
mfp_1963,0.0
mfp_1804,0.0
mfp_1802,0.0
mfp_1551,0.0
mfp_1631,0.0
mfp_1644,0.0
mfp_1643,0.0
mfp_1642,0.0
mfp_1641,0.0
mfp_1640,0.0
mfp_1639,0.0
mfp_1638,0.0
mfp_1637,0.0
mfp_1636,0.0
mfp_1635,0.0
mfp_1634,0.0
mfp_1633,0.0
mfp_1632,0.0
mfp_1630,0.0
mfp_1615,0.0
mfp_1629,0.0
mfp_1628,0.0
mfp_1627,0.0
mfp_1626,0.0
mfp_1625,0.0
mfp_1624,0.0
mfp_1623,0.0
mfp_1622,0.0
mfp_1621,0.0
mfp_1620,0.0
