compound_id,canonical_smiles,source_dataset,scaffold_smiles,p_repellent,p_non_repellent,ensemble_std,prediction_interval_lower,prediction_interval_upper,prediction_interval,ood_score,rank,high_ood,high_uncertainty
LIC_01957,Cc1ccc2nc(-c3ccc(NC(=O)c4ccc(N5C(=O)CCC5=O)cc4)cc3)sc2c1,insecticide,CC(CC1CCC(C2CC3CCCCC3C2)CC1)C1CCC(C2C(C)CCC2C)CC1,0.99999999,1.0000000050247593e-08,0.00013794393,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.6107229955258603,75,False,True
LIC_01958,CC(=O)N1CCN(C(=S)c2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)CC1,insecticide,CC(C1CCCCC1)C1CCC(C2CCCCC2)C1,0.99999999,1.0000000050247593e-08,0.0008469238,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.610553849650411,76,False,False
LIC_01959,Cc1ccc2nc(-c3ccccc3)[nH]c2c1,insecticide,C1CCC(C2CC3CCCCC3C2)CC1,0.99999999,1.0000000050247593e-08,0.00083778054,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.39826606256970515,77,False,False
LIC_01960,Cc1nn(CC(O)Cn2c(C)c(C)c3ccccc32)c(C)c1Cl,insecticide,C1CCC(CCCC2CCC3CCCCC32)C1,0.99999999,1.0000000050247593e-08,0.0022408194,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.6588999539245657,78,False,True
LIC_01962,O=C(c1cc(-c2cccc(F)c2)n[nH]1)N1CC(=O)N(CCc2ccccc2)C(=O)C1,insecticide,CC1CC(C(C)C2CCC(C3CCCCC3)C2)CC(C)C1CCC1CCCCC1,0.99999999,1.0000000050247593e-08,0.00015298474,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.6120013789041813,79,False,False
LIC_01971,N#CCCN1CCN(C(=S)c2ccc(-c3ccc([N+](=O)[O-])cc3Cl)o2)CC1,insecticide,CC(C1CCCCC1)C1CCC(C2CCCCC2)C1,0.99999999,1.0000000050247593e-08,0.0012928182,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.6692443625277515,80,False,True
LIC_01963,O=C(Nc1nc(-c2ccc3ccccc3c2)cs1)c1ccc(N2C(=O)CCC2=O)cc1,insecticide,CC(CC1CCC(C2CCC3CCCCC3C2)C1)C1CCC(C2C(C)CCC2C)CC1,0.99999999,1.0000000050247593e-08,0.00047514754,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.6633842944581056,81,False,False
LIC_01964,O=C(Nc1nc(-c2cccc3ccccc23)cs1)c1ccc(N2C(=O)CCC2=O)cc1,insecticide,CC(CC1CCC(C2CCCC3CCCCC32)C1)C1CCC(C2C(C)CCC2C)CC1,0.99999999,1.0000000050247593e-08,0.00044890316,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.6508370160786271,82,False,False
LIC_01965,COC(=O)c1sc2ccccc2c1NC(=O)c1cccc(N2C(=O)CCC2=O)c1,insecticide,CC(CC1CCC2CCCCC21)C1CCCC(C2C(C)CCC2C)C1,0.99999999,1.0000000050247593e-08,0.0004087763,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.5695630415236417,83,True,False
LIC_01966,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cccc(S(=O)(=O)N2CCOCC2)c1,insecticide,CC(CC1CCCCC1)C1CCCC(C(C)(C)C2CCCCC2)C1,0.99999999,1.0000000050247593e-08,0.0006889776,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.6096651195060864,84,False,False
