Compound_ID,SMILES,InChIKey,Molecular_Formula,MW_Da,p_repellent,OOD_Score,Target_Species,PubChem_CID
REP_00257,C=CCc1ccc(O)c(OC)c1,RRAFCDWBNXTKKO-UHFFFAOYSA-N,C10H12O2,164.0837,0.45714285714285713,0.3767432341085398,Aedes aegypti,3314
REP_00258,C=Cc1ccc(OC)c(OC)c1,NJXYTXADXSRFTJ-UHFFFAOYSA-N,C10H12O2,164.0837,0.22807017543859648,0.41531651515141754,Aedes aegypti,61400
REP_00259,COc1ccccc1O,LHGVFZTZFXWLCP-UHFFFAOYSA-N,C7H8O2,124.0524,0.0625,0.25232067129807595,Aedes aegypti,460
REP_00260,COc1ccccc1CO,WYLYBQSHRJMURN-UHFFFAOYSA-N,C8H10O2,138.0681,0.10256410256410256,0.3036884134173128,Aedes aegypti,69154
REP_00261,COc1ccc(CCCO)cc1,NIIDHUCLROLCBU-UHFFFAOYSA-N,C10H14O2,166.0994,0.7777777777777778,0.24772524193124534,Aedes aegypti,79406
REP_00262,COc1ccc(CCO)cc1,AUWDOZOUJWEPBA-UHFFFAOYSA-N,C9H12O2,152.0837,0.25,0.17655339586180238,Aedes aegypti,69705
REP_00263,COc1ccc(CO)cc1,MSHFRERJPWKJFX-UHFFFAOYSA-N,C8H10O2,138.0681,0.22807017543859648,0.17132936331088336,Aedes aegypti,89752
REP_00264,Cn1cccc1-c1cccnc1,RYFOJXFXERAMLS-UHFFFAOYSA-N,C10H10N2,158.0844,0.7225039046218814,0.7364021840093956,Aedes aegypti,10249
REP_00265,COc1cc(C)ccc1O,PETRWTHZSKVLRE-UHFFFAOYSA-N,C8H10O2,138.0681,0.22807017543859648,0.26767425805371603,Aedes aegypti,7144
REP_00266,Cc1ccc2c(c1)C(=O)CO2,YHBPCTBGLNRJDY-UHFFFAOYSA-N,C9H8O2,148.0524,0.16923076923076924,0.5166168383626326,Aedes aegypti,590535
REP_00267,Cc1nccnc1C,OXQOBQJCDNLAPO-UHFFFAOYSA-N,C6H8N2,108.0687,0.22807017543859648,0.33830114091847147,Aedes aegypti,22201
REP_00268,ClC#CCl,ZMJOVJSTYLQINE-UHFFFAOYSA-N,C2Cl2,93.9377,0.0975609756097561,0.4690032453331931,Aedes aegypti,24227
REP_00269,ClCCCl,WSLDOOZREJYCGB-UHFFFAOYSA-N,C2H4Cl2,97.969,0.0975609756097561,0.17924746611974304,Aedes aegypti,11
REP_00270,O=C(c1ccccc1)N1CCCCC1,YXTROGRGRSPWKL-UHFFFAOYSA-N,C12H15NO,189.1154,0.99999999,0.5517677200537494,Aedes aegypti,69892
REP_00271,O=C(OCc1ccccc1)c1ccccc1,SESFRYSPDFLNCH-UHFFFAOYSA-N,C14H12O2,212.0837,0.99999999,0.3273304682648942,Aedes aegypti,2345
REP_00272,O=c1ccc2ccccc2o1,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,C9H6O2,146.0368,0.16923076923076924,0.4649158678219419,Aedes aegypti,323
REP_00273,O=CC12CC=CCC1C1CC=CCC1O2,XNYGOEGATLFFOX-UHFFFAOYSA-N,C13H16O2,204.115,0.99999999,0.7566764923924428,Aedes aegypti,31341
REP_00274,O=C(O)CCC1CCCCC1,HJZLEGIHUQOJBA-UHFFFAOYSA-N,C9H16O2,156.115,0.45714285714285713,0.29078214995569807,Aedes aegypti,69702
REP_00275,OC1CCCCC1c1ccc(F)cc1,WOONSTDBFNVLTK-UHFFFAOYSA-N,C12H15FO,194.1107,0.99999999,0.4956045975497828,Aedes aegypti,20487437
REP_00276,OCC#CC1(O)CCCCC1,IACPYUXMRKYCDO-UHFFFAOYSA-N,C9H14O2,154.0994,0.7777777777777778,0.5411646249504442,Aedes aegypti,4277820
REP_00277,OCC=CC1(O)CCCCC1,CJTNFKINCCTDIP-UHFFFAOYSA-N,C9H16O2,156.115,0.7777777777777778,0.4346217001938664,Aedes aegypti,282443
REP_00278,OCCc1ccc(Br)cc1,PMOSJSPFNDUAFY-UHFFFAOYSA-N,C8H9BrO,199.9837,0.45714285714285713,0.19837594551511495,Aedes aegypti,72851
