compound_id,canonical_smiles,p_repellent,p_insecticidal,repel_lower_90,repel_upper_90,insect_lower_90,insect_upper_90,Category
LIC_00095,CC(C)(C)c1ccc(NC(=O)N2CC(N3C(=O)CCC3=O)C2)cc1,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00094,Cc1ccccc1OCC(=O)N1CC(N2C(=O)CCC2=O)C1,1.0,0.5000000000000001,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00093,O=C(CN1C(=O)CCC1=O)N1CC(S(=O)(=O)c2ccc(F)cc2)C1,1.0,0.72,0.4339622641509434,1.0,0.07483870967741935,1.0,Toxic Repellent
LIC_00092,O=C1CCC(=O)N1C1CN(S(=O)(=O)C2CCCCC2)C1,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00091,CCNc1nc2c([nH]1)c(=O)n(C)c(=O)n2C,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00090,Cc1cccc2c(CCN)c[nH]c12,1.0,0.41304347826086957,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00089,CC(C)CNc1nc2c([nH]1)c(=O)n(C)c(=O)n2C,1.0,0.5000000000000001,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00088,Cn1c(=O)c2[nH]c(N3CCCC3)nc2n(C)c1=O,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00087,CC(C)c1cn(-c2ccccc2)nn1,1.0,0.5000000000000001,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00086,O=C(Nc1ccc(Cl)c(Cl)c1)N1CC(N2C(=O)CCC2=O)C1,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00085,CCn1c(NC)nc2c1c(=O)n(C)c(=O)n2C,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00084,Cc1cccc(OC2CCN(C(=O)CN3C(=O)CCC3=O)CC2)n1,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00083,CN(C)Cc1nc2c([nH]1)c(=O)n(C)c(=O)n2C,1.0,0.5714285714285714,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00082,COC(CNC(=O)CN1C(=O)CCC1=O)c1cccc(F)c1,1.0,0.43902439024390244,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00113,CNCCCOc1ccccc1OC,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00112,CCNc1nc2c(c(=O)[nH]c(=O)n2C)n1CC,1.0,0.5000000000000001,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00110,Cn1c(=O)c2c(nc(NCCO)n2C)n(C)c1=O,1.0,0.5714285714285714,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00107,O=C1CCC(=O)N1Cc1csc(NCc2ccccc2)n1,1.0,0.43902439024390244,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00106,CC(C)Cn1c(N(C)C)nc2c1c(=O)n(C)c(=O)n2C,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00105,COC(C)(CNC(=O)CN1C(=O)CCC1=O)c1ccccc1F,1.0,0.5,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00104,CCN(CC)c1ccc(C(=O)NCc2c3c(nn2C)CCC3)cc1,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00103,O=C(COc1ccccc1F)N1CC(N2C(=O)CCC2=O)C1,1.0,0.5000000000000001,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00102,O=C(COc1ccccc1)N1CC(N2C(=O)CCC2=O)C1,1.0,0.5000000000000001,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00101,O=C1CCC(=O)N1Cc1csc(Nc2ccccc2F)n1,1.0,0.43902439024390244,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00100,O=C(CN1C(=O)CCC1=O)N1CCC(c2cccs2)CC1,1.0,0.43902439024390244,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00099,CCn1c(N(C)C)nc2c1c(=O)n(C)c(=O)n2C,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00098,Cc1cccc(C(=O)CCC(=O)O)c1,1.0,0.41304347826086957,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00130,Cc1ccc(Nc2nc(CN3C(=O)CCC3=O)cs2)cc1,1.0,0.41304347826086957,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00129,CCn1c(N)nc2c1c(=O)[nH]c(=O)n2C,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00128,Cn1c(=O)c2c(ncn2CC(N)=O)n(C)c1=O,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00127,Cn1c(=O)c2[nH]c(N3CCOCC3)nc2n(C)c1=O,1.0,0.5000000000000001,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00126,O=C(CN1C(=O)CCC1=O)N1CC(S(=O)(=O)C2CCCCC2)C1,1.0,0.72,0.4339622641509434,1.0,0.07483870967741935,1.0,Toxic Repellent
LIC_00125,O=C1CC(c2c[nH]c3ccccc23)CN1,1.0,0.43902439024390244,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00122,CCOc1ccc(CC(=O)N2CC(N3C(=O)CCC3=O)C2)cc1,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00121,NCCc1c[nH]c2ccc(F)cc12,1.0,0.5000000000000001,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
