Compound_ID,SMILES,InChIKey,Insecticidal_Active,ChEMBL_ID,N_Assay_Records,Best_pChEMBL,Median_pChEMBL,Target_Organisms,Source
EXT_00787,C=C1C(C)=C(C(=O)Nc2cccc(Cl)c2)C(=O)N1c1cccc(Cl)c1,XDDAYQPNDDSZMV-UHFFFAOYSA-N,0,CHEMBL1254537,1,,,Lucilia cuprina,ChEMBL
EXT_00788,CC(C)COCCCCOc1ccc(Oc2ccccc2)cc1,XFHOWYMIURYWDJ-UHFFFAOYSA-N,1,CHEMBL2271774,1,8.08,8.08,Culex pipiens,ChEMBL
EXT_00789,CN(C(=S)S)c1ccccc1,XFOAZOPAGIZIHX-UHFFFAOYSA-N,1,CHEMBL2023725,2,8.23,7.7,Drosophila melanogaster,ChEMBL
EXT_00790,CC/C=N/OCCOc1ccc(CC(CC)CC)cc1,XGJSRGFOFWKZER-WOJGMQOQSA-N,1,CHEMBL2272187,1,9.88,9.88,Culex pipiens,ChEMBL
EXT_00791,CCSc1nc2sc3c(c2c(=O)n1-c1ccccc1)CCN(Cc1ccccc1)C3,XGZDCBGAMNLKSW-UHFFFAOYSA-N,1,CHEMBL577016,1,5.08,5.08,Anopheles gambiae,ChEMBL
EXT_00792,CC(C)O/N=C/CCOc1ccc(CC(C)(C)C)cc1,XHSCUNLSQOGSPA-WOJGMQOQSA-N,1,CHEMBL2272171,1,10.03,10.03,Culex pipiens,ChEMBL
EXT_00793,CCCC/C(=N\C#N)N(C)Cc1ccc(Cl)nc1,XIMAVZOSPGNLKM-GHRIWEEISA-N,0,CHEMBL2287455,1,,,Musca domestica,ChEMBL
EXT_00794,CCC(CC)Cc1ccc(OCC(C)OC(=O)N(C)C(C)C)cc1,XISHXFCLWJLQNX-UHFFFAOYSA-N,1,CHEMBL2272159,1,8.25,8.25,Culex pipiens,ChEMBL
EXT_00795,C[C@@H]1C[C@H](Nc2ccc(F)cc2)c2cc(F)ccc2N1C(=O)c1ccc(C(F)(F)F)cc1,XLSVHXBAFPMFTL-SZNDQCEHSA-N,1,CHEMBL58694,1,6.04,6.04,Aedes aegypti,ChEMBL
EXT_00796,COc1ccc(NC(=S)NCCN(C)C)cc1Cl,XMTMNCSIIKTNGP-UHFFFAOYSA-N,0,CHEMBL4075136,2,4.77,4.76,Anopheles gambiae,ChEMBL
EXT_00797,N#Cc1cc(CN2CCN/C2=N\[N+](=O)[O-])cnc1Cl,XNMRXBUOPWDAFP-UHFFFAOYSA-N,1,CHEMBL2287961,1,6.07,6.07,Musca domestica,ChEMBL
EXT_00798,CC/C=C/[C@@]12[C@@H]3C[C@H]4[C@H]5[C@H](C)/C(=C6/OC(=O)C(C)=C6OC)O[C@]5(O3)[C@@H]1CCN42,XNUWGEPKIOWLHQ-KQYNXQAPSA-N,1,CHEMBL1807141,2,,,Spodoptera littoralis,ChEMBL
EXT_00799,Cc1cccc(C(=O)NC(C)C)c1NC(=O)c1ccc(C(F)(F)F)nc1C(C)C,XNYUHDKHKQHGTB-UHFFFAOYSA-N,0,CHEMBL199142,2,,,"Plutella xylostella,Spodoptera frugiperda",ChEMBL
EXT_00800,Cc1cccc(-c2noc(CCC(=O)O)n2)c1,XODDCJFEBMABKW-UHFFFAOYSA-N,0,CHEMBL2442690,1,,,Aedes aegypti,ChEMBL
EXT_00801,CC(C)(C)N(NC(=O)c1ccccc1Br)C(=O)c1ccccc1Cl,XOMSSWCTXPZCIF-UHFFFAOYSA-N,0,CHEMBL2286744,1,4.22,4.22,Drosophila melanogaster,ChEMBL
EXT_00802,Cc1cc(Cl)cc(C(=O)NC(C)C)c1NC(=O)c1cc(C(F)(F)F)nn1-c1ncccc1Cl,XPJUOKKHAANAGZ-UHFFFAOYSA-N,1,CHEMBL199017,4,,,"Plutella xylostella,Spodoptera frugiperda",ChEMBL
EXT_00803,CCCCOCCOc1ccc(OC(CC)CC)cc1,XPNCXPSNYPZARP-UHFFFAOYSA-N,1,CHEMBL2272144,1,5.49,5.49,Culex pipiens,ChEMBL
EXT_00804,Cc1cn(CCOCCOC(c2ccccc2)(c2ccccc2)c2ccccc2)c(=O)[nH]c1=O,XTVPTIAFWYQSSW-UHFFFAOYSA-N,0,CHEMBL219905,1,4.25,4.25,Drosophila melanogaster,ChEMBL
EXT_00805,CCOP(=O)(OCC)SCCCCCCCCCCN1C(=O)c2ccccc2C1=O,XUWKCSYPGGIVKR-UHFFFAOYSA-N,0,CHEMBL2252723,2,4.09,4.09,"Drosophila melanogaster,Musca domestica",ChEMBL
EXT_00806,CC(C)(C)N(NC(=O)c1ccc(I)cc1)C(=O)c1ccccc1Cl,XVGIYJFMSOEXKP-UHFFFAOYSA-N,1,CHEMBL2286946,2,7.3,6.225,"Drosophila melanogaster,Spodoptera frugiperda",ChEMBL
EXT_00807,COc1ccc(CC(=O)O[C@H]2[C@H](O)[C@@H](CO)O[C@H]2n2cc(/C=C/Br)c(=O)[nH]c2=O)cc1,XXABSLKSVNSKNR-LRHXJELHSA-N,0,CHEMBL241408,1,,,Drosophila melanogaster,ChEMBL
EXT_00808,CCC(CC)Cc1ccc(OCCC(C)OC(=O)NC)cc1,XXPFMWLCLXVIGS-UHFFFAOYSA-N,1,CHEMBL2272162,1,7.11,7.11,Culex pipiens,ChEMBL
EXT_00809,CC(C)(C)N(NC(=O)c1ccccc1Cl)C(=O)c1ccccc1Cl,XYKDBVSVTYPSCQ-UHFFFAOYSA-N,1,CHEMBL2286743,2,5.59,5.59,Drosophila melanogaster,ChEMBL
EXT_00810,CC(C)(C)OC(=O)NCCCCCCCC(=O)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cc(/C=C/Br)c(=O)[nH]c1=O,XZBAHVXCAMYTPQ-DXSAQWPFSA-N,0,CHEMBL240716,1,4.13,4.13,Drosophila melanogaster,ChEMBL
EXT_00811,COc1cccc(C(=O)N2c3ccc(C)cc3[C@@H](Nc3ccc(C)cc3)C[C@H]2C)c1,XZHPYHJFZUUHKF-DVECYGJZSA-N,0,CHEMBL409553,1,4.48,4.48,Aedes aegypti,ChEMBL
EXT_00812,CN1c2c(F)cc(F)cc2[C@@H]2C=CC[C@@H]2[C@@H]1c1cccnc1,YAEPCDBQNNDLJN-KEYYUXOJSA-N,0,CHEMBL2064248,2,,,"Aedes aegypti,Anopheles stephensi",ChEMBL
EXT_00813,CC(C)COCCCOc1ccc(CC(C)(C)C)cc1,YAPZONGWUNHYFV-UHFFFAOYSA-N,1,CHEMBL2272176,1,9.43,9.43,Culex pipiens,ChEMBL
EXT_00814,COc1ccccc1C(=O)N1c2ccc(F)cc2[C@@H](Nc2ccc(F)cc2)C[C@H]1C,YBASPVAHLJGYNX-VFNWGFHPSA-N,0,CHEMBL61369,1,4.48,4.48,Aedes aegypti,ChEMBL
EXT_00815,CCO/N=C/COc1ccc(Oc2cccc(Cl)c2)cc1,YCCGSNINHZTAKE-VCHYOVAHSA-N,1,CHEMBL2271804,1,8.12,8.12,Culex pipiens,ChEMBL
EXT_00816,O=[N+]([O-])/N=C1/N(Cc2ccc(CN3CCN(Cc4ccc(Cl)nc4)/C3=N\[N+](=O)[O-])cc2)CCN1Cc1ccc(Cl)nc1,YECLWZGOXPAQBL-WVMMTVHUSA-N,1,CHEMBL447459,1,5.64,5.64,Musca domestica,ChEMBL
EXT_00817,Cc1cn(CCOCCOC(c2ccccc2)(c2ccccc2)c2ccc(Cl)cc2)c(=O)[nH]c1=O,YEMQPAHBMSLZJE-UHFFFAOYSA-N,0,CHEMBL219458,1,4.35,4.35,Drosophila melanogaster,ChEMBL
EXT_00818,CNC(=O)c1cc(I)cc(C)c1NC(=O)c1cc(Br)nn1-c1ncccc1Cl,YENFJUFFMMZNKJ-UHFFFAOYSA-N,1,CHEMBL398660,2,,,"Plutella xylostella,Spodoptera frugiperda",ChEMBL
EXT_00819,CCCOCCCOc1ccc(CC(C)(C)C)cc1,YFVCPZNXOVONEK-UHFFFAOYSA-N,1,CHEMBL2272173,1,8.01,8.01,Culex pipiens,ChEMBL
