feature,mean_abs_shap
mfp_13,0.0006646543077118133
mfp_1928,0.0006633557746888133
mfp_1920,0.0006613241849456106
mfp_1375,0.0006586570456379574
mfp_437,0.0006537607293064983
mfp_1176,0.0006467041343542219
mfp_389,0.0006441750069654658
mfp_1057,0.0006423383746968989
mfp_75,0.000639773756894348
mfp_881,0.0006211016697884916
mfp_1487,0.0006205438485987063
mfp_1060,0.0005930882563539093
mfp_490,0.0005859100041425682
mfp_598,0.0005839282481740729
mfp_1852,0.0005817238938396981
mfp_1937,0.0005787653105538951
mfp_379,0.000577226943682693
mfp_519,0.0005601793076935254
mfp_1758,0.0005519455880433543
mfp_310,0.0005512589492935274
mfp_599,0.0005468933459243406
mfp_1766,0.0005446750353905992
mfp_294,0.0005395828460049862
mfp_562,0.0005384643672542148
mfp_1410,0.0005381699309351935
mfp_385,0.0005331906795142989
mfp_822,0.0005328401760313944
mfp_235,0.0005253882861515819
mfp_1093,0.0005249911794963393
mfp_110,0.0005246619810033801
mfp_456,0.0005221690269252964
mfp_1133,0.0005125234432785322
mfp_744,0.000506299545567341
mfp_2013,0.0005014858550207218
mfp_1154,0.0004882134283409431
mfp_1199,0.00048413374920339017
mfp_1097,0.00048300527004827205
mfp_1992,0.0004827733766296797
mfp_1031,0.0004793063915287374
mfp_1866,0.0004775855196656497
mfp_1896,0.0004760990374350461
mfp_345,0.00047417331766969886
mfp_1238,0.0004740393294472502
mfp_1017,0.00046801964146336384
mfp_35,0.00046568309244905123
mfp_2000,0.00046076668105867456
mfp_92,0.0004580882083940335
mfp_1453,0.0004580254202103568
mfp_392,0.0004563756606120068
mfp_1754,0.0004563745888284084
mfp_1539,0.00045454092313485374
mfp_247,0.0004516035837899606
mfp_1202,0.0004508684759814063
mfp_1396,0.0004476642564458615
mfp_841,0.000438080566111775
mfp_272,0.00043350412087870936
mfp_1962,0.0004282865223434607
mfp_1528,0.0004237154301795115
mfp_38,0.00042322875143695015
mfp_1164,0.00041350388608483096
mfp_171,0.0004103756894986372
mfp_1152,0.00040831503039658046
mfp_1007,0.00039969124149516347
mfp_1391,0.0003990694238333202
mfp_1011,0.0003977962904529319
mfp_1063,0.0003967385761864214
mfp_961,0.00039495198506068845
mfp_645,0.00039482868953773085
mfp_1114,0.0003943086175807146
mfp_737,0.00039121888619910133
mfp_619,0.00037975341574500145
mfp_714,0.00037836050532347176
mfp_1536,0.00037808092592003366
mfp_1510,0.0003772052316212392
mfp_265,0.00037430749849819486
mfp_1274,0.00037258709710589496
mfp_1887,0.0003699754968460446
mfp_1697,0.0003682238305889586
mfp_1737,0.0003676849231326382
mfp_592,0.0003651351234042607
mfp_378,0.00036492942171900114
mfp_74,0.000363610297718885
mfp_915,0.0003623236011612298
mfp_1797,0.00036168515793346366
mfp_1075,0.0003597068200493919
mfp_45,0.000353565533042205
mfp_526,0.00035188215115423505
mfp_1603,0.000347665990681569
mfp_675,0.0003436665888798103
mfp_381,0.00034092047804081113
mfp_661,0.000340606613386527
mfp_197,0.00033671882260653954
mfp_222,0.00032861572520073956
mfp_1136,0.0003281238799419562
mfp_1823,0.0003268980941413717
mfp_1544,0.00032670353538118103
mfp_1070,0.0003251141077423549
mfp_908,0.0003247844182300944
mfp_1629,0.0003201577049963062
mfp_266,0.00031461168571345446
mfp_1999,0.0003145479547632796
mfp_355,0.0003144008045914873
mfp_371,0.00031307039294452065
mfp_667,0.0003113233641487771
mfp_1840,0.0003038841427798499
mfp_1589,0.0003028719099122271
mfp_833,0.0003015320111217608
mfp_1019,0.00029915470619506715
mfp_857,0.0002973546660695063
mfp_1610,0.00029116137346687566
mfp_985,0.00028839352008672197
mfp_1527,0.00028288781098153394
mfp_847,0.00028270102408333353
mfp_419,0.0002823678439580399
mfp_1738,0.0002802022275025867
mfp_1572,0.00027887622902488457
mfp_529,0.0002784859758792347
mfp_1476,0.0002772388047990309
mfp_1889,0.00027470653338676623
mfp_849,0.0002726282516673785
mfp_339,0.00027258568055707266
mfp_1686,0.0002721338187967848
mfp_591,0.00027167833205015264
mfp_1703,0.0002690321432958357
mfp_165,0.0002683380542056349
mfp_906,0.00026810284547249165
mfp_1243,0.0002673580080239429
mfp_1998,0.00026363948543342905
mfp_1158,0.000263124051367058
mfp_885,0.0002618534709866626
mfp_865,0.0002611287780594754
mfp_390,0.00026101886434542413
mfp_886,0.00026040356476560465
mfp_192,0.00025955904750839996
mfp_1991,0.00025629157477040327
mfp_1573,0.0002549523729063157
mfp_1791,0.0002517479238549615
mfp_703,0.00024932841877617253
mfp_1607,0.00024829816779348927
mfp_146,0.00024726850412688025
mfp_1585,0.00024597138918969896
mfp_965,0.0002457112921702727
mfp_1816,0.0002451753589396396
mfp_1035,0.0002436721155401026
mfp_824,0.00024256123659389814
mfp_1915,0.00024227564072168745
mfp_1366,0.0002412197634941521
mfp_951,0.00024071844968552385
mfp_805,0.0002396854715471108
mfp_555,0.00023703817466286356
mfp_116,0.00023637809053815283
mfp_135,0.00023577808165429676
mfp_1163,0.00023457938693009195
mfp_486,0.00023338812263858078
mfp_1028,0.00023287445336575013
mfp_1647,0.00023211189486914213
mfp_162,0.00023160749818767844
mfp_1844,0.0002299845446006299
mfp_1511,0.0002287070089560113
mfp_1221,0.00022811976259391482
mfp_1550,0.00022664843593979972
mfp_947,0.00022576124739280657
mfp_298,0.00022413519049092653
mfp_2,0.00022394077719674045
mfp_1295,0.0002204073986332829
mfp_2011,0.00021978400139950423
mfp_1501,0.00021953122012217756
mfp_781,0.00021879567328622195
mfp_837,0.00021842316159095793
mfp_350,0.0002179079669356901
mfp_794,0.00021694986516942558
mfp_1401,0.0002159814946970229
mfp_335,0.00021543400293100168
mfp_441,0.00021513759669876284
mfp_1815,0.0002143278458203229
mfp_71,0.00021337870364718825
mfp_2001,0.0002132340480365536
mfp_2035,0.00021071293797278492
mfp_1503,0.00021035998448986444
mfp_1302,0.00020983192262989764
mfp_334,0.00020964397879004153
mfp_795,0.0002092887439146466
mfp_898,0.0002078949322615045
mfp_980,0.0002071006914284327
mfp_652,0.000205370209146911
mfp_1417,0.00020435948743653107
mfp_1567,0.00020410806751870253
mfp_1194,0.0002033952616380915
mfp_231,0.00020207615700571882
mfp_528,0.00020194351366333596
mfp_401,0.000201205048100417
mfp_443,0.00019890566447301283
mfp_1267,0.0001980949385865766
mfp_495,0.0001978304798557555
mfp_216,0.00019752055922914874
mfp_1594,0.0001941005378936664
mfp_2004,0.00019331812711696644
mfp_90,0.00018954555535301878
mfp_955,0.00018861372946892376
mfp_976,0.00018845464168383515
mfp_689,0.00018797477467045323
mfp_79,0.0001867047082396842
mfp_1099,0.0001860707721232172
mfp_1430,0.0001851743144471187
mfp_1422,0.0001850135599785176
mfp_105,0.00018451192730213606
mfp_1160,0.00018296989184998514
mfp_1360,0.00018228962770968938
mfp_727,0.000179153037461099
mfp_1741,0.0001781056051092379
mfp_699,0.00017751614214183965
mfp_872,0.0001758147669966192
mfp_206,0.00017471984069495256
mfp_1144,0.0001746108187036513
mfp_297,0.00017178657693715506
mfp_808,0.0001699822944155242
mfp_622,0.0001641238154404041
mfp_1950,0.00016362308378981968
mfp_2021,0.00016142959901997838
mfp_728,0.00016114227545632558
mfp_816,0.00016045480951288484
mfp_1751,0.00015938155012067902
mfp_1670,0.00015657487202239007
mfp_1726,0.00015540014338905902
mfp_1845,0.00015491897680666389
mfp_478,0.000154777333376009
mfp_809,0.00015452074321493998
mfp_567,0.00015237645123747083
mfp_470,0.00015178177751018753
mfp_1747,0.00015167261256193831
mfp_1220,0.00015116815884309756
mfp_25,0.00015030174244348796
mfp_250,0.00014769111163444985
mfp_859,0.00014611298057374343
mfp_1499,0.0001459221717381209
mfp_1485,0.0001455593222365041
mfp_2027,0.00014548779187833
mfp_1309,0.0001454185160668586
mfp_966,0.00014493228263958983
mfp_1951,0.00014463712208730023
mfp_1128,0.00014359079343138784
mfp_1027,0.0001428452662662607
mfp_934,0.00014277395323007648
mfp_1972,0.00014263037913578725
mfp_142,0.0001425688004819226
mfp_1356,0.00014231133946896346
mfp_879,0.00014183184915661992
mfp_1032,0.00014148857698975588
mfp_1037,0.00014094482591408517
mfp_1666,0.00014019003001762895
mfp_1083,0.00013958704838145262
mfp_1349,0.00013733593919139475
mfp_623,0.00013690010813965532
mfp_888,0.0001367365962772759
mfp_1839,0.00013596155448940156
mfp_1001,0.00013524360015498653
mfp_691,0.00013500843080220827
mfp_1542,0.0001339693882255046
mfp_383,0.00013305488615557935
mfp_739,0.00013263615613018305
mfp_448,0.00013262583421891263
mfp_368,0.00013248651882084123
mfp_325,0.00013229317990929882
mfp_1126,0.0001318346627214536
mfp_1009,0.00013146172042830887
mfp_1949,0.0001306737193047691
mfp_41,0.00012954307560244247
mfp_1181,0.00012945902539310264
mfp_1860,0.00012925016697494542
mfp_1847,0.00012920006297167559
mfp_1602,0.00012860700228523375
mfp_1444,0.00012682198146149733
mfp_828,0.0001258192846647621
mfp_1436,0.00012576152207130327
mfp_1729,0.00012537545242768142
mfp_1386,0.00012526966506244265
mfp_1287,0.00012426791882361906
mfp_1398,0.00012286006965679707
mfp_1948,0.0001218677078047377
mfp_1345,0.00012085017027049948
mfp_1903,0.00011900593292622336
mfp_319,0.0001177712511343671
mfp_843,0.0001177191846226079
mfp_1905,0.00011768785107253337
mfp_1910,0.00011737284180147953
mfp_864,0.0001171097850736287
mfp_730,0.00011702414570599056
mfp_184,0.00011697993243939637
mfp_1296,0.00011674718186215718
mfp_191,0.00011638263697882109
mfp_1964,0.00011583486838909116
mfp_147,0.00011563420925728322
mfp_84,0.00011498309528133384
mfp_1631,0.00011485579783528822
mfp_653,0.00011459691264524948
mfp_126,0.00011413564670909584
mfp_1370,0.00011409972214663099
mfp_1985,0.00011376185681151438
mfp_1072,0.00011291217773608286
mfp_998,0.00011178461456818882
mfp_318,0.00011166711070607296
mfp_1512,0.00011163041121712459
mfp_835,0.0001111734990460322
mfp_666,0.00011112522204476589
mfp_509,0.00011056180356976227
mfp_1455,0.00011008959916586685
mfp_1355,0.00010924679703682409
mfp_1693,0.00010815764961432853
mfp_1051,0.00010778001263969597
mfp_1171,0.00010747851625484182
mfp_1352,0.00010725010116079878
mfp_248,0.00010679210202632233
mfp_4,0.00010625179807629847
mfp_1716,0.00010578389009433072
mfp_1864,0.00010577571934241304
mfp_670,0.00010558674966740529
mfp_777,0.00010533062270396577
mfp_1482,0.00010475294324869458
mfp_1654,0.00010445155434524091
mfp_1414,0.00010441885107950859
mfp_1471,0.00010427537745387294
mfp_978,0.00010420140817104435
mfp_1260,0.00010382957722613517
mfp_878,0.00010374484218078484
mfp_2017,0.00010323851296345812
mfp_1289,0.00010299347499422877
mfp_1224,0.00010292508772622298
mfp_9,0.00010265300978098382
mfp_1174,0.0001022062275623271
mfp_1425,0.00010054563704663741
mfp_168,0.00010043001578801357
mfp_580,9.988418860532069e-05
mfp_590,9.951522087827652e-05
mfp_1689,9.886056881509233e-05
mfp_1668,9.822138291891185e-05
mfp_1489,9.762741740208386e-05
mfp_1626,9.72770876047894e-05
mfp_893,9.713149606341821e-05
mfp_1566,9.685786919256329e-05
mfp_1803,9.594854132512658e-05
mfp_1645,9.571460115618203e-05
mfp_760,9.542979737542807e-05
mfp_1045,9.490459504584662e-05
mfp_1101,9.467193005146422e-05
mfp_523,9.388597544277843e-05
mfp_1197,9.385028435597276e-05
mfp_341,9.301814409631745e-05
mfp_1203,9.283833744893652e-05
mfp_1374,9.268178841874606e-05
mfp_1237,9.235827667705137e-05
mfp_502,9.207618119067992e-05
mfp_454,9.189687602170724e-05
mfp_1907,9.174021784563738e-05
mfp_1162,9.155901737779455e-05
mfp_1608,9.05865823372187e-05
mfp_263,9.001503239850618e-05
mfp_775,8.944119236614263e-05
mfp_145,8.937201206129669e-05
mfp_731,8.828037581395038e-05
mfp_188,8.806083423345698e-05
mfp_756,8.764625968354627e-05
mfp_1970,8.731915680034076e-05
mfp_67,8.667638912169371e-05
mfp_1898,8.638153140138568e-05
mfp_1799,8.561782932248101e-05
mfp_826,8.524233541738073e-05
mfp_1961,8.52286448258609e-05
mfp_1518,8.518469139692204e-05
mfp_1825,8.514748151529419e-05
mfp_1908,8.512889202693177e-05
mfp_281,8.324780226939135e-05
mfp_1479,8.324112877186787e-05
mfp_968,8.307692976632365e-05
mfp_1247,8.249369516932919e-05
mfp_848,8.195280990006378e-05
mfp_831,8.135949123365478e-05
mfp_1742,8.126665688292698e-05
mfp_1110,8.119939683885089e-05
mfp_221,8.071725045443648e-05
mfp_1330,8.041503960478898e-05
mfp_810,8.01166041465242e-05
mfp_204,7.926904172262997e-05
mfp_693,7.87191148477718e-05
mfp_1800,7.851654703482753e-05
mfp_1554,7.802275609756431e-05
mfp_895,7.780970825397283e-05
mfp_1282,7.754096748407471e-05
mfp_813,7.713704562942883e-05
mfp_1446,7.698130568388717e-05
mfp_117,7.650723094272746e-05
mfp_1440,7.632324293161523e-05
mfp_1953,7.628819047846159e-05
mfp_1477,7.623434349957671e-05
mfp_734,7.602718886363694e-05
