compound_id,molecule_id,xtb_method,xtb_version,xtb_charge,xtb_multiplicity,xtb_uhf,xtb_solvent,xtb_opt_level,xtb_converged,xtb_energy_Eh,xtb_gradient_norm_Eh_per_bohr,xtb_cycles,xtb_wall_time_s,mmff_to_xtb_rmsd_A,xtb_input_geometry_path,xtb_optimized_geometry_path,xtb_status,xtb_message,dft_start_geometry_source,dft_converged,status,opt_status,opt_converged,dft_total_energy_hartree,d_av_A,ECN,Rg_A,HCM,HD_A,dQ_A,alignment_RMSD_A,hoppe_converged,descriptor_status
DEC_00017,DEC_00017,GFN2-xTB,6.7.1,0.0,1.0,0.0,,tight,True,-19.770430191043,0.000103652743,11.0,1.9197092056274414,0.07559204691609392,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00017/xtb_preopt/xtb_input.xyz,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00017/xtb_preopt/xtbopt.xyz,success,GEOMETRY OPTIMIZATION CONVERGED,GFN2-xTB,True,converged,opt_not_converged: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,False,-302.5361391045983,1.1567675161384814,1.4187415775537742,1.9411654547927462,0.5318929597563756,2.413442971709246,4.537459891957738,1.769375185146422,True,success
DEC_00018,DEC_00018,GFN2-xTB,6.7.1,0.0,1.0,0.0,,tight,True,-20.767862932554,4.1548695e-05,6.0,1.519453525543213,0.03158220082055982,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00018/xtb_preopt/xtb_input.xyz,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00018/xtb_preopt/xtbopt.xyz,success,GEOMETRY OPTIMIZATION CONVERGED,GFN2-xTB,True,converged,opt_not_converged: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,False,-303.7229662890242,1.1652659501931224,1.4430098033778014,1.918308473149351,0.3233430402164367,1.5655045754863754,4.841621376598893,0.9667472646164313,True,success
DEC_00019,DEC_00019,GFN2-xTB,6.7.1,0.0,1.0,0.0,,tight,True,-20.727047385805,0.000133364636,9.0,1.8197424411773682,0.0510852214612298,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00019/xtb_preopt/xtb_input.xyz,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00019/xtb_preopt/xtbopt.xyz,success,GEOMETRY OPTIMIZATION CONVERGED,GFN2-xTB,True,converged,opt_not_converged: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,False,-684.1048103516597,1.2214992219360854,1.6284509554466227,2.0466318029766923,0.4290692705440862,1.8881342975473459,4.400534895340035,1.300300163698749,True,success
DEC_00020,DEC_00020,GFN2-xTB,6.7.1,0.0,1.0,0.0,,tight,True,-21.782765919502,8.155816e-05,12.0,2.273496150970459,0.06732731951727651,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00020/xtb_preopt/xtb_input.xyz,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00020/xtb_preopt/xtbopt.xyz,success,GEOMETRY OPTIMIZATION CONVERGED,GFN2-xTB,True,converged,opt_not_converged: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,False,-304.89538570208407,1.0872319670404367,1.2593318527777386,2.245911489971708,0.5070988515618432,3.3647951833785794,6.635383166448024,1.6893988033841758,True,success
DEC_00021,DEC_00021,GFN2-xTB,6.7.1,0.0,1.0,0.0,,tight,True,-20.759290798649,0.000460258881,16.0,2.6206247806549072,0.11914396368264248,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00021/xtb_preopt/xtb_input.xyz,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00021/xtb_preopt/xtbopt.xyz,success,GEOMETRY OPTIMIZATION CONVERGED,GFN2-xTB,True,converged,opt_not_converged: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,False,-303.69274353230105,1.1169798916948277,1.339316174189041,2.0739049682121915,0.22882239538249521,1.1888961588761617,5.1957159039823235,0.9076934150035301,True,success
DEC_00022,DEC_00022,GFN2-xTB,6.7.1,0.0,1.0,0.0,,tight,True,-20.722249181391,0.00019512369,45.0,7.426465749740601,0.4547530899671849,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00022/xtb_preopt/xtb_input.xyz,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00022/xtb_preopt/xtbopt.xyz,success,GEOMETRY OPTIMIZATION CONVERGED,GFN2-xTB,True,converged,opt_not_converged: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,False,-303.6462934145851,1.090158770353391,1.1964455886608536,2.0459368496677985,0.26202496336436665,1.3529483885663023,5.1634331752006375,0.5751565758780277,True,success
DEC_00023,DEC_00023,GFN2-xTB,6.7.1,0.0,1.0,0.0,,tight,True,-20.724226672472,0.000151167293,17.0,3.3712801933288574,0.08373561835558704,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00023/xtb_preopt/xtb_input.xyz,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00023/xtb_preopt/xtbopt.xyz,success,GEOMETRY OPTIMIZATION CONVERGED,GFN2-xTB,True,converged,opt_not_converged: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,False,-303.6389071894829,1.0869005617315466,1.2014063484597552,2.0997585311950115,0.6187021109183459,3.359342510242823,5.429660657301648,1.4658540728158425,True,success
DEC_00024,DEC_00024,GFN2-xTB,6.7.1,0.0,1.0,0.0,,tight,True,-21.786979195478,0.000184434647,9.0,1.770193099975586,0.0692798307310458,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00024/xtb_preopt/xtb_input.xyz,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00024/xtb_preopt/xtbopt.xyz,success,GEOMETRY OPTIMIZATION CONVERGED,GFN2-xTB,True,converged,opt_not_converged: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,False,-304.90254302396795,1.08762805687235,1.2585284264143133,2.1499548189870428,0.457697348499242,2.5693167451740155,5.613571399525533,1.5861822139197,True,success
DEC_00025,DEC_00025,GFN2-xTB,6.7.1,0.0,1.0,0.0,,tight,True,-20.884931148286,5.7765342e-05,6.0,1.5182600021362305,0.017558104002244442,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00025/xtb_preopt/xtb_input.xyz,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00025/xtb_preopt/xtbopt.xyz,success,GEOMETRY OPTIMIZATION CONVERGED,GFN2-xTB,True,converged,opt_not_converged: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,False,-269.5938899990191,1.0951643193375415,1.3386349003720717,2.547435383872201,0.8524775371562686,6.744871318446765,7.912080992710492,1.6753555916289036,True,success
DEC_00027,DEC_00027,GFN2-xTB,6.7.1,0.0,1.0,0.0,,tight,True,-22.801319293677,0.000247151694,33.0,4.426281213760376,1.055734580063724,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00027/xtb_preopt/xtb_input.xyz,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00027/xtb_preopt/xtbopt.xyz,success,GEOMETRY OPTIMIZATION CONVERGED,GFN2-xTB,True,converged,opt_not_converged: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,False,-695.078336342958,1.267974105232405,1.4878488594570787,2.272422923192855,0.001441036861982711,0.008690218925132887,6.0305320109411245,0.005502272600389064,True,success
