compound_id,atom_index,element,x_A,y_A,z_A,d_av_i_A,ECN_i
REP_00003,22,H,-2.5883361953594624,6.263812215364702,1.9578431955582767,1.0980433313093523,1.000000232609141
REP_00003,23,H,-3.437828457219777,6.523338489562879,0.4066401432476216,1.0961164156002168,1.0000001711718944
REP_00003,24,H,-1.849011860836385,5.7025365154764485,0.43328611651970034,1.098363581876022,1.0000002336091638
REP_00003,25,H,-4.436507570264645,4.594945305387977,1.7029736777262208,1.0973695244911816,1.0000001034765436
REP_00003,26,H,-3.762490229056724,4.066032645687706,0.13477925493350404,1.0993606434092913,1.0000001261337124
REP_00003,27,H,-2.275146277041319,3.8664405364206997,2.8313123754499427,1.1000852499087865,1.0000000156224758
REP_00003,28,H,-3.1754337899145106,2.5083023492242407,2.018400484376226,1.1071841243768552,1.0000000335982047
REP_00003,29,H,0.6605258387139351,2.1259546678086028,0.19100644644733192,1.0991124438015931,1.0000000464055034
REP_00003,30,H,-0.02822414859352989,2.9144272449374955,-1.2764606372081362,1.093135887257104,1.0000000245624567
REP_00003,31,H,-1.9868381599874914,0.8920342969834765,-1.999661555624663,1.0323055316427003,1.0
REP_00003,32,H,1.1143662009909152,-0.48897477018231295,-2.508296515856731,1.0975734658804828,1.0000000257371193
REP_00003,33,H,1.5822996644674796,1.2575762353694235,-2.4452291968883197,1.0907007268271163,1.000000012061695
REP_00003,34,H,3.9658314863133404,-0.9390346499750907,0.6927745605656255,1.10923826645433,1.000000105538614
REP_00003,35,H,2.4774276053634865,-1.5580522350588248,1.5070400551364975,1.1076424556470947,1.0000000900559116
REP_00003,36,H,4.151660947679448,-3.09624814906353,-0.593102154276562,1.1011767999446396,1.0000001724790306
REP_00003,37,H,2.6645164121929352,-3.7036588335509246,0.1845367579603126,1.1013778815204263,1.0000001758702175
REP_00003,38,H,5.272200343568079,-2.9572039974514337,1.6598459491885638,1.0983149702488209,1.0000002436904107
REP_00003,39,H,4.704587095381111,-4.617421138929337,1.3221621678962132,1.0945248884866459,1.0000001564326741
REP_00003,40,H,3.784654675329173,-3.5658996079049023,2.436253058446112,1.0983098775927653,1.0000002423229348
REP_00003,41,H,-1.9950129332964217,-1.9808212377870824,1.006227750284912,1.1078197024124286,1.0000000351164706
REP_00003,42,H,-2.6259556232739096,-2.802195297967653,-0.49191466344600454,1.0999546025662656,1.0000000150383879
REP_00003,43,H,-0.9595097507721971,-4.209156537167694,0.8081425177845596,1.0974927044263851,1.0000000855780284
REP_00003,44,H,0.27349048071204385,-2.936352172224371,0.5538101661032222,1.099143627060086,1.0000001010385304
REP_00003,45,H,-1.1432731556835118,-4.513774596871686,-1.6891084178487785,1.0982006856282647,1.000000225736927
REP_00003,46,H,0.08185615431214244,-3.2362253475055986,-1.931133575530807,1.0982434003471744,1.000000224976493
REP_00003,47,H,0.5367049112185336,-4.771278138298658,-1.1360673240371268,1.0961843494832697,1.0000001785028845
REP_00004,0,C,4.013932645632575,0.3782814705470642,1.1753014322764148,1.0969237431798833,3.004033364146709
REP_00004,1,C,3.478115773755328,0.9976058903343913,-0.13146597445020505,1.1061566169640706,2.036961775705178
REP_00004,2,O,2.2427038211334787,0.3225876064779674,-0.5539987819355766,1.4433608392067026,1.9884758728853646
REP_00004,3,C,1.1422792559516106,0.869307952991195,0.15901631211636627,1.3285923173277396,2.519872916797263
REP_00004,4,O,1.0801709909504595,1.8519298635740982,0.9201706727730107,1.2444915493829893,1.0
REP_00004,5,N,0.02330325944991424,0.04610105402797492,-0.231200600140574,1.4431049715014965,3.0000135645966086
REP_00004,6,C,0.21273568262126044,-1.372369364155138,-0.4174778617477082,1.3284971896407456,2.5180861637370193
REP_00004,7,O,1.128353061917113,-2.047680966233575,0.0865068788091303,1.2443478468195677,1.0
REP_00004,8,O,-0.8261396646749651,-1.7471299759467904,-1.3112956878477418,1.4434276615705175,1.988597100633934
REP_00004,9,C,-0.8246949629816177,-3.2080325444173057,-1.4727849248863405,1.1061526398521901,2.037003015043115
REP_00004,10,C,-1.5876090280752353,-3.880632991750506,-0.3135837355414266,1.0969290118675772,3.0040369188612694
REP_00004,11,C,-1.3150871317733714,0.5794893494761163,-0.1465329218607462,1.3284581187577609,2.5177343901459635
REP_00004,12,O,-2.3275528913139727,-0.06818885192353143,0.17553720740248702,1.2443082957908964,1.0
REP_00004,13,O,-1.176334915968354,1.9334851596580593,-0.5537268754489925,1.4433752566165698,1.9884833704768687
REP_00004,14,C,-2.4585812641178197,2.6290477923718116,-0.3737628728870605,1.1061608665653093,2.037011193206891
REP_00004,15,C,-2.618224582417764,3.096385398471631,1.087151133049613,1.0969394019503622,3.0040359000113925
