compound_id,mol_name,canonical_smiles,inchikey,mol_formula,mol_weight,num_heavy_atoms,source_dataset,repellent_active,target_species,assay_type,scaffold_smiles,qc_status,sdf_Acceptor,sdf_Activity,sdf_CAS,sdf_Chemical_Name,sdf_Collection,sdf_Database,sdf_Description,sdf_Donor,sdf_FSP3,sdf_HAC,sdf_IDNUMBER,sdf_MW,sdf_Molecular Formula,sdf_Molecular Target,sdf_Molecule Name,sdf_Molecule Name 2,sdf_PriceCoeff,sdf_PubChem CID,sdf_Reference DOI,sdf_Reference_compound,sdf_RotBonds,sdf_Similarity,sdf_Smiles,sdf_TPSA,sdf_clogP
LIC_02284,F0078-0024,O=C1CC(N(O)c2ccccc2)C(=O)N1Cc1ccccc1,YFZRDVZHJUQWJO-UHFFFAOYSA-N,C17H16N2O3,296.1161,22,insecticide,,nan,nan,CC1CC(CC2CCCCC2)C(C)C1CC1CCCCC1,pass,4.0,,308101-38-4,"1-benzyl-3-(N-phenylhydroxyamino)pyrrolidine-2,5-dione",General,,solid,2.0,0.18,22.0,F0078-0024,296.32,,,,,1.0,,,,4.0,,,60.85,3.42
LIC_02285,F3139-0611,O=c1cc(-c2ccc(Cl)cc2)oc2ccc(Br)cc12,UWEJUZJFROHCGO-UHFFFAOYSA-N,C15H8BrClO2,333.9396,19,insecticide,,nan,nan,CC1CC(C2CCCCC2)CC2CCCCC12,pass,2.0,,75767-99-6,6-bromo-2-(4-chlorophenyl)-4H-chromen-4-one,General,,solid,0.0,0.0,19.0,F3139-0611,335.58,,,,,1.0,,,CHEMBL275638,1.0,0.832,,26.3,5.06
LIC_02286,F0808-0261,O=S(=O)(Nc1c(Cl)c(Cl)c(O)c2ccccc12)c1ccccc1,HPWRHCSEPBKXMF-UHFFFAOYSA-N,C16H11Cl2NO3S,366.9837,23,insecticide,,nan,nan,CC(C)(CC1CCCC2CCCCC21)C1CCCCC1,pass,4.0,,178970-83-7,"N-(2,3-dichloro-4-hydroxynaphthalen-1-yl)benzenesulfonamide",General,,solid,2.0,0.0,23.0,F0808-0261,368.23,,,,,1.0,,,,3.0,,,74.78,3.98
LIC_02287,F2548-0070,O=C1CC2(CCN(C(=O)c3ccc(Cl)c([N+](=O)[O-])c3)CC2)Oc2ccccc21,NFQWVUCXBBEMOK-UHFFFAOYSA-N,C20H17ClN2O5,400.0826,28,insecticide,,nan,nan,CC1CC2(CCC(C(C)C3CCCCC3)CC2)CC2CCCCC12,pass,5.0,,877811-06-8,"1'-(4-chloro-3-nitrobenzoyl)-3,4-dihydrospiro[1-benzopyran-2,4'-piperidine]-4-one",General,,solid,0.0,0.3,28.0,F2548-0070,400.81,,,,,1.0,,,,3.0,,,89.75,2.65
LIC_02288,F3139-0991,C=C(C)COc1cc2occ(-c3ccc4c(c3)OCCO4)c(=O)c2cc1CC,DHTLETHWJOERGG-UHFFFAOYSA-N,C23H22O5,378.1467,28,insecticide,,nan,nan,CC1C2CCCCC2CCC1C1CCC2CCCCC2C1,pass,5.0,,610762-30-6,"3-(2,3-dihydro-1,4-benzodioxin-6-yl)-6-ethyl-7-[(2-methylprop-2-en-1-yl)oxy]-4H-chromen-4-one",General,,solid,0.0,0.26,28.0,F3139-0991,378.42,,,,,1.0,,,CHEMBL455048,5.0,0.826,,53.99,5.22
LIC_02289,F1620-0061,Cn1/c(=N\C(=O)c2ccc(N3C(=O)CCC3=O)cc2)sc2ccccc21,ZCRBVRURKUQWTE-FMQUCBEESA-N,C19H15N3O3S,365.0834,26,insecticide,,nan,nan,CC(CC1CC2CCCCC2C1)C1CCC(C2C(C)CCC2C)CC1,pass,3.0,,307327-07-7,"4-(2,5-dioxopyrrolidin-1-yl)-N-[(2E)-3-methyl-2,3-dihydro-1,3-benzothiazol-2-ylidene]benzamide",General,,solid,0.0,0.16,26.0,F1620-0061,365.41,,,,,1.0,,,,3.0,,,95.35,2.95
LIC_02290,F3228-0128,O=Cc1c(O)ccc2c(=O)c(-c3ccccc3)coc12,RAPVJUXPJKKNPL-UHFFFAOYSA-N,C16H10O4,266.0579,20,insecticide,,nan,nan,CC1C2CCCCC2CCC1C1CCCCC1,pass,4.0,,856791-64-5,7-hydroxy-4-oxo-3-phenyl-4H-chromene-8-carbaldehyde,General,,solid,1.0,0.0,20.0,F3228-0128,266.25,,,,,1.0,,,CHEMBL44,2.0,0.948,,63.6,2.84
LIC_02291,F1365-1296,C=CCn1/c(=N/C(=O)CN2C(=O)CCC2=O)sc2cc(S(N)(=O)=O)ccc21,BMTLTZBRLFXUJM-VLGSPTGOSA-N,C16H16N4O5S2,408.0562,27,insecticide,,nan,nan,CC(CC1CC2CCCCC2C1)CC1C(C)CCC1C,pass,5.0,,1164457-94-6,"2-(2,5-dioxopyrrolidin-1-yl)-N-[(2Z)-3-(prop-2-en-1-yl)-6-sulfamoyl-2,3-dihydro-1,3-benzothiazol-2-ylidene]acetamide",General,,solid,1.0,0.25,27.0,F1365-1296,408.45,,,,,1.0,,,,6.0,,,163.89,1.71
LIC_02292,F1814-1152,CCn1/c(=N/C(=O)CN2C(=O)CCC2=O)sc2c(C)cc(C)cc21,FUMZIOITLHYODU-ZCXUNETKSA-N,C17H19N3O3S,345.1147,24,insecticide,,nan,nan,CC(CC1CC2CCCCC2C1)CC1C(C)CCC1C,pass,3.0,,1164489-86-4,"2-(2,5-dioxopyrrolidin-1-yl)-N-[(2Z)-3-ethyl-5,7-dimethyl-2,3-dihydro-1,3-benzothiazol-2-ylidene]acetamide",General,,solid,0.0,0.41,24.0,F1814-1152,345.42,,,,,1.0,,,,4.0,,,95.35,4.3
LIC_02293,F2749-0247,O=C(CCN1C(=O)c2ccccc2S1(=O)=O)Nc1ccc(Cl)c([N+](=O)[O-])c1,LTMKUEOTGHZFEM-UHFFFAOYSA-N,C16H12ClN3O6S,409.0135,27,insecticide,,nan,nan,CC(CCC1C(C)C2CCCCC2C1(C)C)CC1CCCCC1,pass,6.0,,899996-46-4,"N-(4-chloro-3-nitrophenyl)-3-(1,1,3-trioxo-2,3-dihydro-1lambda6,2-benzothiazol-2-yl)propanamide",General,,solid,1.0,0.12,27.0,F2749-0247,409.8,,,,,1.0,,,,5.0,,,135.07,2.77
