compound_id,canonical_smiles,source_dataset,repellent_active,scaffold_smiles,method,convergence,charge,multiplicity,mmff_energy,homo_ev,lumo_ev,homo_lumo_gap_ev,total_energy_eh,dipole_debye,partial_charge_mean,partial_charge_std,partial_charge_max,partial_charge_min,dft_subset
DEC_00247,CCCCCCCCCC#N,non_repellent,0.0,,GFN2-xTB,converged,0.0,1.0,-2.4552019559218943,-11.428036876167711,-5.763890105305773,5.664146770861938,-33.99977252952264,1.5104819926374953,4.0338103228047354e-16,0.06550590702249288,0.11212274311138068,-0.23795104940972117,True
DEC_00251,CCOC(=O)C(C#N)=C(C)C,non_repellent,0.0,,GFN2-xTB,converged,0.0,1.0,4.871917213514695,-11.395789200865027,-7.864541800947224,3.5312473999178025,-33.74969487157733,1.3736375191269619,-4.2831899643209164e-16,0.15452232357543322,0.3589380995001674,-0.41084236328238277,False
DEC_00252,CCCN(CCC)C(=O)CC,non_repellent,0.0,,GFN2-xTB,converged,0.0,1.0,-17.120612748916702,-10.275467172414325,-5.522784769475104,4.752682402939222,-35.976243060344565,1.715401703803234,4.302114220422482e-17,0.1079814253627177,0.25787100252206857,-0.43767957833882193,False
DEC_00254,Clc1ccc(C(Cl)(Cl)Cl)cc1,non_repellent,0.0,C1CCCCC1,GFN2-xTB,converged,0.0,1.0,46.13970583512865,-11.391913234615801,-7.518268835885052,3.8736443987307494,-35.22099338371193,0.4568766670297798,2.335169095128246e-15,0.09986471311836721,0.22313174999784463,-0.14960943150607073,False
DEC_00261,CCOC(=O)c1ccccc1,non_repellent,0.0,C1CCCCC1,GFN2-xTB,converged,0.0,1.0,27.692158310337117,-11.13481377702848,-7.451491833580469,3.6833219434480107,-32.49782667981157,1.0029655842695933,-2.6466923890617573e-16,0.14053386835412193,0.3467906417130641,-0.41616932647825705,False
DEC_00264,COC(=O)CC1CCCCC1,non_repellent,0.0,C1CCCCC1,GFN2-xTB,converged,0.0,1.0,-4.80797394449531,-11.088458471848226,-6.45084384259168,4.637614629256546,-35.59866711993973,0.7692197895764865,-2.233295852776067e-16,0.12428110701347231,0.3513795752481691,-0.40362433423400823,False
DEC_00266,CC(=O)Oc1cccc(C)c1,non_repellent,0.0,C1CCCCC1,GFN2-xTB,converged,0.0,1.0,26.95535676148009,-10.838162859658885,-6.736870367604216,4.101292492054669,-32.50476911956418,0.7318489142274294,-6.013708050052931e-17,0.14661120217994417,0.3578526346271941,-0.3923295562933315,False
DEC_00267,CC(=O)Oc1ccccc1C,non_repellent,0.0,C1CCCCC1,GFN2-xTB,converged,0.0,1.0,27.916909021545546,-10.86692004722926,-6.675838693194848,4.191081354034413,-32.503650002857334,0.8859877325847996,6.9686320206382595e-16,0.14564938518067158,0.35851935000150575,-0.394787943916455,False
DEC_00268,CCCOc1ccccc1O,non_repellent,0.0,C1CCCCC1,GFN2-xTB,converged,0.0,1.0,16.722311561209693,-10.012398706188238,-5.939373949487394,4.0730247567008435,-33.516527804318244,1.2409384656417748,3.8616453030440226e-17,0.13553939214093158,0.31595256785861614,-0.39424194105074795,True
DEC_00269,CCCOC1CCCCC1O,non_repellent,0.0,C1CCCCC1,GFN2-xTB,converged,0.0,1.0,24.973939115720142,-10.685970957207054,-0.42885008536188657,10.257120871845167,-36.60015514586087,1.028288378683475,2.220446049250313e-16,0.1312364748596091,0.30008466173148596,-0.45374739108496204,False
